date,location_id,name,measurement,prediction,predictor
2017-12-01,19759,Location 19759,308.731,296.737,60.875
2017-12-01,19982,Location 19982,660.064,630.264,57.25
2017-12-01,19731,Location 19731,456.505,503.083,57.5417
2017-12-01,20129,Location 20129,2293.62,2349.28,74.2917
2017-12-01,19278,Location 19278,1532.91,1548.19,59.5
2017-12-01,20127,Location 20127,2059.67,2057.59,71.9583
2017-12-01,20128,Location 20128,2049.48,2092.67,73.625
2017-12-01,20126,Location 20126,3130.72,3102.52,75.5417
2017-12-01,20130,Location 20130,2079.7,2132.37,69.625
2017-12-02,20126,Location 20126,2789.75,2859.51,75.5833
2017-12-02,19759,Location 19759,334.019,311.431,62.8333
2017-12-02,19731,Location 19731,477.67,521.4680000000001,64.7083
2017-12-02,19278,Location 19278,1585.77,1554.04,59.5833
2017-12-02,19982,Location 19982,649.212,602.7959999999999,65.2917
2017-12-02,20127,Location 20127,1813.3,1867.75,72.2083
2017-12-02,20128,Location 20128,1812.9,1831.69,73.2083
2017-12-02,20130,Location 20130,2131.17,2125.3,69.4583
2017-12-02,20129,Location 20129,2438.08,2206.59,74.25
2017-12-03,20128,Location 20128,1612.66,1598.38,71.7917
2017-12-03,20129,Location 20129,1998.95,1903.16,72.7083
2017-12-03,20130,Location 20130,2051.97,2000.21,68.6667
2017-12-03,19278,Location 19278,1481.6,1340.27,58.2917
2017-12-03,20127,Location 20127,1841.12,1724.67,70.0
2017-12-03,20126,Location 20126,2717.06,2723.14,73.3333
2017-12-04,20127,Location 20127,2051.24,1964.04,70.1667
2017-12-04,20128,Location 20128,1983.35,1941.65,72.5
2017-12-04,20130,Location 20130,2180.3,2130.15,70.125
2017-12-04,20126,Location 20126,3108.14,2974.83,73.75
2017-12-04,20129,Location 20129,2430.18,2303.37,74.25
2017-12-04,19278,Location 19278,1409.07,1432.23,58.5
2017-12-05,20127,Location 20127,1986.51,2023.7,71.6667
2017-12-05,19759,Location 19759,295.358,301.88,63.9583
2017-12-05,19278,Location 19278,1430.93,1435.79,59.7917
2017-12-05,19982,Location 19982,663.688,589.4730000000001,50.2083
2017-12-05,20126,Location 20126,3324.15,3133.02,76.0417
